GDELT Query,Article Language,Article Country,Article Date Original,Article Title,Article URL,original_language,By_Excel,By_LLM,Filter_Source,Excel_Match,LLM_Classification
Bolt,English,South Africa,20230901T133000Z,Bolt drivers bemoan vehicle impoundments,https://www.itweb.co.za/content/mYZRX79gNpyqOgA8,en,False,True,LLM,,MAYBE
Uber,English,United Kingdom,20230901T171500Z,Lior Ron making sure logistics not running on empty,https://supplychaindigital.com/articles/lior-ron-making-sure-logistics-not-running-on-empty,en,False,True,LLM,,MAYBE
Uber,English,United States,20230901T171500Z,Carl Kurlander : The WGA / SAG strike and four lessons from a steel town for the modern - day labor movement,https://triblive.com/opinion/carl-kurlander-the-wga-sag-strike-and-four-lessons-from-a-steel-town-for-the-modern-day-labor-movement/,en,True,False,Excel,Actions: strike; Actors: labor,NO
Uber,English,United States,20230901T153000Z,"Unions are showing a strike - laden resurgence under Biden , but some believe it wont last",https://www.washingtontimes.com/news/2023/sep/1/unions-are-showing-strike-laden-resurgence-under-b/,en,True,False,Excel,Actions: strike; Actors: Union,NO
Uber,English,South Africa,20230901T100000Z,These SA companies ARENT paying employee PENSION,https://www.thesouthafrican.com/business/these-sa-companies-arent-paying-employees-pension-breaking-news-1-september-2023-latest/,en,False,True,LLM,,MAYBE
Uber,English,United States,20230901T120000Z,settlement | The Epoch Times,https://www.theepochtimes.com/tag/settlement,en,False,True,LLM,,MAYBE
Uber,English,United States,20230901T173000Z,Ride - share companies resort to bullying and threats and theyre working,https://www.minnpost.com/community-voices/2023/09/ride-share-companies-resort-to-bullying-and-threats-and-theyre-working/,en,False,True,LLM,,MAYBE
Just Eat,Icelandic,Iceland,20230901T211500Z,Mom and Dad Working in Hellissandur,https://www.visir.is/g/20232457518d/redi-mommu-sina-og-pabba-i-vinnu-a-hellissandi,is,False,True,LLM,,MAYBE
Just Eat,English,New Zealand,20230901T024500Z,Metro Metro Eats ! Friday 1 September,https://www.metromag.co.nz/food/metro-eats/metro-eats-friday-1-september,en,False,True,LLM,,MAYBE
Ola,English,India,20230901T060000Z,"100 , 000 startup workers may have lost jobs in past 2 years",https://www.livemint.com/companies/start-ups/100000-startup-workers-may-have-lost-jobs-in-past-2-years-11693506461361.html,en,False,True,LLM,,MAYBE
Doordash,English,United States,20230901T050000Z,Driver Gets  Fired  by Doordash for Traveling to Another City,https://www.dailydot.com/news/doordash-fires-driver-for-vacation/,en,False,True,LLM,,MAYBE
Carriage,German,Germany,20230901T011500Z,Word for the weekend : We lack serenity,https://www.mainpost.de/regional/rhoengrabfeld/wort-zum-wochenende-uns-fehlt-die-gelassenheit-art-11224423,de,False,True,LLM,,MAYBE
Carriage,English,Australia,20230901T233000Z,"Show ride safety reform is still in the works , and a Spin Dragon victim says that  hard to fathom",https://www.abc.net.au/news/2023-09-02/show-ride-injury-victim-speaks-out-on-lack-of-reform/102789390,en,False,True,LLM,,MAYBE
Carriage,English,,20230901T201500Z,"Disney Hits Back At Charter Claims , Says It Offered Pay - TV Operator  The Most Favorable Terms  And Proposed An Extension To Keep ESPN And Other Networks From …",https://biztoc.com/x/554c89d0485859cf,en,True,False,Excel,Actions: Pay; Actors: Operator,NO
Carriage,German,Germany,20230901T064500Z,Car crashes in Neubrandenburg on Pizza - suppliers,https://www.nordkurier.de/regional/neubrandenburg/wagen-kracht-in-neubrandenburg-auf-pizza-lieferanten-1870621,de,False,True,LLM,,MAYBE
Grab,Chinese,China,20230901T053000Z,It's hard to stay steady.,https://finance.sina.com.cn/tech/roll/2023-09-01/doc-imzkekvk7937409.shtml,zh,False,True,LLM,,MAYBE
Grab,Chinese,China,20230901T020000Z,_Other Organiser,http://www.chuzhou.cn/2023/0901/477279.shtml,zh,False,True,LLM,,MAYBE
Delivery Club,Spanish,Chile,20230901T083000Z,They continue to add solidarity and contributions - Diario Chañarcillo,https://www.chanarcillo.cl/siguen-sumando-la-solidaridad-y-los-aportes/,es,False,True,LLM,,MAYBE
Delivery Club,Spanish,Argentina,20230901T201500Z,Kicillof: We already saw what happened when you were in the service of a few,https://www.andigital.com.ar/politica/item/117774-kicillof-ya-vimos-lo-que-paso-cuando-estuvo-al-servicio-de-unos-pocos,es,False,True,LLM,,MAYBE
Delivery Club,English,United States,20230901T114500Z,Briefly,https://www.sunjournal.com/2023/09/01/briefly-7714/,en,False,True,LLM,,MAYBE
Delivery Club,Spanish,Argentina,20230901T154500Z,The caravan of the Gran Cadena Federal already sits on the streets of Córdoba,https://www.cadena3.com/noticia/sociedad/la-caravana-de-la-gran-cadena-federal-ya-se-siente-en-las-calles-de-cordoba_367319,es,False,True,LLM,,MAYBE
gig economy,English,Australia,20230901T050000Z,"New Protections for Gig Economy Workers Will Be Introduced Next Week , Here Your 3 - Minute Explainer",https://gizmodo.com.au/2023/09/gig-economy-workers-protections-australia/,en,False,True,LLM,,MAYBE
gig economy,English,United States,20230901T211500Z,Labor leader touts union support as possible auto strikes loom,https://jcpost.com/posts/8ef8dc45-a2fa-48cb-9710-e057bf644e37,en,True,False,Excel,"Actions: strike; Actors: Labor, union",NO
gig economy,English,United States,20230901T230000Z,Why Hollywood labor nightmare wont end soon - Los Angeles Times,https://www.latimes.com/entertainment-arts/business/story/2023-09-01/writers-strike-actors-strike-sag-aftra-wga-hollywood-labor-strife,en,False,True,LLM,,MAYBE
gig work,English,United States,20230901T103000Z,Opinion : The new retirement plan : gig work,https://www.marketwatch.com/story/is-gig-work-the-new-retirement-plan-d1360d99,en,False,True,LLM,,MAYBE
gig work,English,United States,20230901T014500Z,It Working Out,https://www.sacmag.com/post/it-s-working-out,en,False,True,LLM,,MAYBE
gig work,English,United States,20230901T004500Z,Late Night Hosts Teaming For Podcast to Support Striking Staffers,https://929nin.com/ixp/442/p/late-night-strike-podcast/,en,False,True,LLM,,MAYBE
gig work,Catalan,Spain,20230901T053000Z,"Penélope: ""We Had No Expectations, but the Impact Was Swift and Inspiring""",https://www.diaridegirona.cat/cultura/2023/09/01/cultura-figueres-acustica-festival-musica-grup-emporda-art-concert-actuacio-escenari-disc-album-penelope-91556218.html,ca,False,True,LLM,,MAYBE
